Model,Trial,Top1_Accuracy,Top5_Accuracy,Time_Per_Image,Precision,Recall,F1,ROC_AUC,CPU Power Usage (W),GPU Power Usage (W)
resnet50,6,0.8343271464964587,0.9279695417261555,0.002020967890716294,0.8358884741588373,0.8343271464964587,0.8344761082797778,0.995355836199781,2.5828571428571423,13.701639285714286
resnet50,7,0.8332913412278492,0.9311889364799417,0.0019226717703960693,0.8346317104757291,0.8332913412278492,0.8332898413947154,0.9953230965408265,6.910357142857144,11.2423
resnet50,8,0.8356149043979731,0.92976120489348,0.0018876310739207249,0.8371109298728454,0.8356149043979731,0.8357792139676792,0.9954210512908693,6.909285714285707,11.456092857142867
resnet50,9,0.8369306570364772,0.9305730522661739,0.0019060394430957454,0.8388025217653408,0.8369306570364772,0.8371934941297832,0.9955668209650687,9.520357142857142,10.24327499999999
resnet50,10,0.8355589149239943,0.9287253996248706,0.0018987405680918634,0.8369085172300375,0.8355589149239943,0.8356040819860315,0.9955852719272142,6.9892857142857165,10.01786785714286
resnet50,11,0.8372106044063716,0.93127292069091,0.0019101273596031476,0.8386351714468518,0.8372106044063716,0.8372718285489902,0.9955107658271936,8.170357142857137,10.63256785714285
resnet50,12,0.8367626886145405,0.9300971417373534,0.0019307193201855907,0.8384870956570963,0.8367626886145405,0.8369208033051865,0.9954075773891473,4.762142857142853,11.386357142857152
resnet50,13,0.8350550096581842,0.9296212312085328,0.001939766644824142,0.836789422132316,0.8350550096581842,0.8352746671603755,0.9954659192971534,4.661785714285717,11.95495714285715
resnet50,14,0.8363707622966883,0.9305450575291845,0.00190715467284753,0.8380022740204354,0.8363707622966883,0.8365830017293311,0.9956021217662554,6.341071428571428,11.349460714285707
resnet50,15,0.8392262254696117,0.9319167996416674,0.0018958392246970705,0.8413797522169336,0.8392262254696117,0.8395382882727921,0.995631348188792,8.733571428571427,10.594246428571427
resnet50,16,0.8374065675652977,0.9312169312169312,0.0018881491993219875,0.838712618505271,0.8374065675652977,0.8375476617442852,0.995595902016282,8.467857142857142,11.76655000000001
resnet50,17,0.8398141149463901,0.9302371154223006,0.0019651041236190343,0.8416776581970676,0.8398141149463901,0.840059559571797,0.9952536975785927,3.8324999999999987,11.647771428571422
resnet50,18,0.833907225441617,0.9278855575151872,0.0019261461967403546,0.8355278853189619,0.833907225441617,0.8340482126809098,0.9954160319138434,5.9871428571428575,11.360760714285725
resnet50,19,0.8358668570308782,0.9286134206769128,0.0018882313352933887,0.837672154124844,0.8358668570308782,0.836113225489488,0.9954477021743662,8.609285714285726,10.305939285714281
resnet50,20,0.8312477254276196,0.9271017048794826,0.00188694867657666,0.8328550743277486,0.8312477254276196,0.8314396709336663,0.9953647310190633,6.988928571428574,9.932785714285716
resnet50,21,0.8346910780773215,0.9294532627865961,0.0019433364559536782,0.8366920686472081,0.8346910780773215,0.8349129344906813,0.9955186490478909,4.856785714285716,10.857946428571426
resnet50,22,0.8332073570168809,0.9289213627837967,0.0019301663740982564,0.8348649838855048,0.8332073570168809,0.8332230073685302,0.9953430963493486,7.421071428571428,11.006785714285716
resnet50,23,0.8341871728115114,0.9292852943646595,0.0018823536475359307,0.835777644903881,0.8341871728115114,0.8343802307347999,0.9954774604582756,8.77428571428571,10.315142857142858
resnet50,24,0.8352229780801209,0.9303490943702584,0.0019253486314955478,0.8369231131682017,0.8352229780801209,0.835309786422983,0.9955943606993428,9.603214285714287,13.068017857142863
resnet50,25,0.836174799137762,0.9298731838414378,0.0019221816310282934,0.837775419479305,0.836174799137762,0.8363867998630494,0.9955534738950912,8.632499999999997,12.288632142857141
resnet50,26,0.8366787044035722,0.9297891996304695,0.0018794025927227243,0.8383833268987151,0.8366787044035722,0.8368904066575911,0.9957869447514648,9.74678571428572,11.464221428571426
resnet50,27,0.8347190728143109,0.9303770891072478,0.0018918098832981533,0.8360280750383007,0.8347190728143109,0.8347801980236248,0.9954490058011272,10.07,11.10298928571429
resnet50,28,0.8358948517678676,0.9303210996332689,0.0018938563544880834,0.8378816727784534,0.8358948517678676,0.8361826143554366,0.9954646366764016,7.5875,10.998017857142857
resnet50,29,0.8351109991321631,0.9296212312085328,0.0018765692220837214,0.8368746462508678,0.8351109991321631,0.8353219143928393,0.9954737369092661,8.645714285714288,10.040778571428563
resnet50,30,0.8358948517678676,0.9302371154223006,0.0018873799271360763,0.8377931108473071,0.8358948517678676,0.8361055527803508,0.9955595529652034,8.828928571428577,10.181950000000002
resnet18,1,0.41546989166036785,0.7276392038296801,0.00153703285903527,0.4184833865749338,0.41546989166036785,0.4142213048210429,0.9666554981321258,3.1424999999999996,11.321560714285713
resnet18,2,0.8145908569188992,0.9175554995660816,0.0014548439724722134,0.8169295881048027,0.8145908569188992,0.814666195976906,0.9934067045218451,2.3221428571428557,12.676003571428568
resnet18,3,0.813191120069427,0.9174155258811344,0.0014803604671040106,0.8153207313418777,0.813191120069427,0.8131886855526561,0.9934447507083272,2.682857142857142,12.022696428571434
resnet18,4,0.8185381148344111,0.9191232048374905,0.0015106833443983795,0.8209358043359989,0.8185381148344111,0.8185296302026104,0.993404624729424,2.786785714285713,11.784121428571423
resnet18,5,0.8167464516670866,0.9189552364155539,0.0015123367830178615,0.8191184627742868,0.8167464516670866,0.8168155588937005,0.9937071630287405,2.3150000000000026,12.398753571428559
resnet18,6,0.8153747095546038,0.9181713837798494,0.0015026702148270051,0.8180063562204413,0.8153747095546038,0.815405450714232,0.9936355927881181,2.553214285714284,13.487217857142845
resnet18,7,0.8125752358556592,0.9166876627194087,0.0014933337590211262,0.8144693022471782,0.8125752358556592,0.8124445053623934,0.9932848630988936,2.9942857142857124,11.296089285714292
resnet18,8,0.8154027042915932,0.9169116206153243,0.0014743382437979833,0.8177117128005048,0.8154027042915932,0.8154806459424504,0.9936678182835039,3.197857142857144,11.970178571428574
